Date,EmployeeID,Name,Attendance,HoursWorked,CheckIn,CheckOut
2024.03.18,E016,Employee_016,P,8.61,09:56,18:32
04/02/2024,e007,Employee_007,present,7.76,09:38,17:23
03-01-2024,E006,Employee_006,Absent ,,,
15/03/2024,E016,EMPLOYEE 016,1,8.14,08:53,17:01
08/02/2024,E002,Employee_002,Late ,6.95,08:41,15:38
2024/02/20,E027,Employee_027,present,7.31,09:34,16:53
21 Feb 2024,e007,Employee_007,present,9.68,08:56,18:37
26 Mar 2024,e028,Employee_028,Y,8.54,08:39,17:11
2024-02-08,E006,Employee_006,Absent ,,,
01/30/2024,E026,Employee_026,On Duty,8.27,09:12,17:28
2024-01-11,E002,Employee_002,OFF,,,
02/18/2024,E013,Employee_013,Present ,8.0,08:53,16:53
2024.03.19,E027,Employee_027,On Duty,8.52,09:24,17:55
19 Jan 2024, e016 ,Employee_016,A,,,
2024/03/06,E002,Employee_002,Absent ,,,
17/02/2024, e021 ,Employee_021,Y,7.8,09:06,16:54
24 Mar 2024,E026,Employee_026,1,11.92,08:36,20:31
23-03-2024,e014,Employee_014,Tardy,7.88,10:15,18:08
32/13/2024,e021,Employee_021,P,9.35,08:49,18:10
21/02/2024,E013,Employee_013,Not Present,,,
09-02-2024,E017,Employee_017,on-duty,9.34,09:22,18:43
23/03/2024,E015,EMPLOYEE 015,1,7.25,09:18,16:33
24-Mar-2024,e014,Employee_014,On Duty,7.22,08:54,16:07
2024/03/24,e021,Employee_021,Late ,9.18,08:45,17:56
2024-03-01,E027,Employee_027,On Duty,5.58,09:09,14:44
2024/01/04, E022,Employee_022,Absent ,,,
03/15/2024,E015,Employee_015,P,7.77,09:31,17:17
2024-03-13,E003,Employee_003,1,8.07,09:05,17:09
27-03-2024,E002,Employee_002,Present ,7.71,09:17,17:00
01-Feb-2024,e028,Employee_028,Y,7.06,08:10,15:14
06-03-2024,E008,Employee_008,Y,8.84,09:58,18:48
07 Mar 2024,E026,Employee_026,p,7.58,09:34,17:09
22-02-2024, e025 ,Employee_025,1,8.29,08:34,16:52
2024-01-18,E012,Employee_012,on-duty,7.87,09:14,17:06
23 Feb 2024,E003,,Present ,6.58,09:04,15:38
10-01-2024,E013,Employee_013,P,7.96,09:43,17:41
25-02-2024,E024,Employee_024,On Duty,8.46,09:03,17:31
32/13/2024,E020,Employee_020,late,9.26,09:32,18:47
20/02/2024,E010,Employee_010,Tardy,7.18,08:53,16:03
2024.02.13,E016,Employee_016,Y,7.54,09:30,17:03
13-02-2024,E019,Employee_019,L,6.39,10:04,16:27
2024/01/01,e007,Employee_007,Absent ,,,
21-Mar-2024,E020,Employee_020,p,7.99,08:43,16:43
19-01-2024,E030,Employee_030,Present ,9.33,09:45,19:05
24-03-2024,e007,Employee_007,P,8.46,08:43,17:11
10-Jan-2024,e028,Employee_028,sick,,,
07-Feb-2024, e014 ,Employee_014,absent,,,
2024.02.06,E010,Employee_010,absent,,,
01/18/2024,E016,Employee_016,On Duty,7.84,08:16,16:07
25/02/2024,E002,Employee_002,Y,8.26,09:00,17:16
22/02/2024,E015,Employee_015,L,8.03,09:07,17:09
2024.03.30,E002,Employee_002,A,,,
2024.03.10,E010,Employee_010,0,,,
2024-02-10,E017,Employee_017,P,7.91,07:51,15:46
2024.01.12, E022,Employee_022,On Duty,8.41,08:13,16:38
04-Mar-2024,E008,Employee_008,Y,9.35,08:23,17:44
08-Jan-2024, E011,Employee_011,present,8.62,08:43,17:20
2024-03-15,E001,Employee_001,Y,7.04,08:26,15:28
21-02-2024,E027,Employee_027,absent,,,
24/03/2024,E024,Employee_024,Y,7.66,09:57,17:36
08-Jan-2024,e021,Employee_021,present,7.46,08:42,16:10
16-03-2024,E023,Employee_023,p,7.9,09:08,17:02
2024/01/30,e007,Employee_007,present,7.86,09:06,16:58
2024.03.03,E018,Employee_018,late,8.07,09:07,17:12
02/08/2024,E026,Employee_026,P,8.84,08:17,17:07
29-02-2024,E015,Employee_015,1,7.01,08:47,15:47
15-02-2024,E006,Employee_006,Tardy,,08:33,16:00
2024.01.10,E023,Employee_023,Present ,9.18,08:14,17:25
28/03/2024,E009,Employee_009,on-duty,8.15,10:00,18:09
01/11/2024,e007,Employee_007,hol,,,
01/01/2024,E018,Employee_018,present,8.01,09:16,17:16
21/02/2024,E017,Employee_017,Y,7.87,08:09,16:02
09/03/2024,E019,Employee_019,N,,,
2024/03/11, E022,Employee_022,on-duty,7.43,08:57,16:23
27 Mar 2024,e021,Employee_021,p,7.33,09:22,16:42
03/23/2024,E020,Employee_020,Present ,9.68,09:07,18:48
11-Feb-2024,E001,Employee_001,present,6.35,09:11,15:32
10-Feb-2024,E009,Employee_009,L,5.16,09:41,14:51
06/03/2024,E006,Employee_006,On Duty,9.29,09:51,19:09
24-02-2024,E004,Employee_004,P,,09:05,16:36
20-03-2024,E025,Employee_025,Late ,7.02,09:15,16:16
2024-03-07,e028,Employee_028,Present ,7.7,09:19,17:01
16 Feb 2024,E023,Employee_023,On Duty,9.05,09:04,18:07
19/01/2024,E018,Employee_018,A,,,
2024-03-20,E005,Employee_005,On Duty,7.49,09:13,16:42
23 Jan 2024,E005,Employee_005,sick,,,
2024-03-13,E025,Employee_025,1,7.31,08:29,15:48
05-Mar-2024, E011,Employee_011,0,,,
19/03/2024,E023,Employee_023,present,8.19,09:04,17:16
2024.02.16,e021,Employee_021,P,8.25,10:18,18:33
2024-01-29,E016,EMPLOYEE 016,present,10.38,08:52,19:15
27 Jan 2024,E005,Employee_005,Absent ,,,
12 Mar 2024,e028,Employee_028,1,8.35,09:16,17:37
08 Jan 2024,E009,Employee_009,On Duty,8.59,09:27,18:03
2024-02-30,E012,Employee_012,on-duty,9.96,08:32,18:29
2024-01-25,E018,Employee_018,p,9.12,08:50,17:58
01/01/2024,E005,Employee_005,present,8.58,09:41,18:16
19-01-2024,E008,Employee_008,1,7.05,09:07,16:10
2024-02-30,E016,Employee_016,Not Present,,,
not_a_date,E029,Employee_029,N,,,
02 Jan 2024, E011,Employee_011,Not Present,,,
2024-03-21,E005,Employee_005,L,8.06,09:08,17:12
01/11/2024,E005,,p,7.61,08:34,16:10
14/03/2024,e007,Employee_007,Y,7.16,08:33,15:43
02/02/2024,E013,Employee_013,p,9.86,09:36,19:27
08-Mar-2024,E017,Employee_017,On Duty,8.78,08:58,17:45
21 Mar 2024,E010,Employee_010,P,8.24,08:34,16:48
2024.03.28,E006,Employee_006,P,,09:13,18:35
19-Mar-2024, E022,Employee_022,present,7.84,09:20,17:11
2024.01.31,E003,Employee_003,sick,,,
22-03-2024,e021,Employee_021,P,8.86,07:58,16:50
12/01/2024,E001,Employee_001,1,7.93,08:12,16:08
2024/01/29,E006,Employee_006,1,7.15,09:26,16:35
24-02-2024, e029 ,Employee_029,0,,,
17 Mar 2024,E003,Employee_003,1,6.86,09:31,16:23
2024-02-03,E015,Employee_015,Late ,8.31,09:32,17:51
2024.03.01,E020,Employee_020,P,8.2,09:52,18:04
2024/01/09,E009,Employee_009,Present ,7.78,08:19,16:06
11 Jan 2024,E015,Employee_015,late,7.75,08:56,16:41
05-03-2024,e007,Employee_007,Y,7.29,10:11,17:28
2024.01.20,E004,Employee_004,p,5.36,10:20,15:41
13 Mar 2024,E029,Employee_029,p,7.43,08:40,16:06
2024-01-06,E002,Employee_002,L,8.3,09:38,17:56
2024/01/22,E025,Employee_025,L,8.93,08:25,17:21
01/24/2024,E024,Employee_024,holiday,,,
19 Jan 2024,E024,Employee_024,P,6.92,08:47,15:42
03/27/2024,E001,Employee_001,P,,08:52,16:49
02/01/2024,E025,Employee_025,late,9.18,08:29,17:39
08-01-2024, E022,Employee_022,present,8.41,09:41,18:05
2024/03/15,E008,Employee_008,Present ,9.21,08:39,17:52
13-Jan-2024,e007,Employee_007,Present ,8.74,07:48,16:33
2024/02/01,e007,Employee_007,on-duty,7.37,08:49,16:11
12 Mar 2024, E022,Employee_022,Y,7.96,08:37,16:35
01/06/2024,E016,Employee_016,P,9.1,09:42,18:48
22 Mar 2024,E008,Employee_008,Present ,6.68,08:43,15:24
2024-01-06,E008,Employee_008,late,7.85,08:58,16:49
15/03/2024,E029,Employee_029,absent,,,
2024-02-18,E020,,present,8.61,09:13,17:50
16-03-2024,e021,Employee_021,p,6.99,08:15,15:14
2024-03-23,E004,Employee_004,present,6.63,09:28,16:06
09-01-2024,e021,Employee_021,P,9.59,09:06,18:42
2024-03-30,E017,Employee_017,Y,6.44,10:30,16:56
05/03/2024,E016,Employee_016,P,6.36,09:17,15:38
2024.02.22,E019,Employee_019,N,,,
2024-02-28,E019,Employee_019,present,8.72,09:08,17:51
2024/02/18,E029,Employee_029,Present ,7.47,09:40,17:08
2024/02/28,E005,Employee_005,L,9.47,09:19,18:47
03/03/2024,E013,Employee_013,p,6.06,08:42,14:46
20-02-2024,E026,Employee_026,1,8.57,08:56,17:31
2024-03-27,E016,Employee_016,P,8.66,08:56,17:35
2024-01-21, E011,Employee_011,Absent ,,,
23 Jan 2024, E011,EMPLOYEE 011,P,5.62,09:17,16:44
2024.02.24, e025 ,Employee_025,on-duty,7.36,09:18,16:40
03-Jan-2024,E016,Employee_016,L,7.87,09:10,17:02
03/17/2024,E018,Employee_018,Present ,7.98,09:07,17:06
2024.02.04,E017,Employee_017,p,8.57,08:44,17:18
2024-03-19,E003,EMPLOYEE 003,present,6.7,09:10,15:52
2024/01/08,E018,Employee_018,On Duty,7.13,08:43,15:51
2024-01-23,E026,Employee_026,Y,7.31,09:01,16:20
2024.02.18, E022,Employee_022,Y,8.06,09:17,17:21
30/03/2024, E022,Employee_022,P,6.8,09:13,16:01
03-03-2024,e007,Employee_007,p,7.51,09:25,16:56
03-Mar-2024,E027,Employee_027,present,7.25,09:07,16:22
2024-02-24, e027 ,Employee_027,on-duty,5.47,08:28,13:57
24-02-2024,E002,Employee_002,Present ,8.3,09:48,18:06
03/12/2024,E026,Employee_026,A,,,
2024.02.08,E013,Employee_013,1,10.97,09:32,20:30
14-Mar-2024,E004,Employee_004,A,,,
2024/03/14,E023,Employee_023,A,,,
2024-02-19,E001,Employee_001,present,8.12,09:07,17:14
2024-03-04,E024,Employee_024,Present ,7.12,08:59,16:07
2024.02.03,E013,Employee_013,1,10.43,09:33,19:59
24/02/2024,E017,Employee_017,p,7.79,08:46,16:33
29-Jan-2024,E027,Employee_027,Present ,7.7,10:00,17:42
2024-02-25,E029,Employee_029,Not Present,,,
04 Mar 2024,E005,Employee_005,,,,
11-Mar-2024, E011,Employee_011,1,7.73,08:18,16:01
17/01/2024,E016,Employee_016,Present ,6.27,08:57,15:13
13/03/2024,E010,Employee_010,L,8.53,08:27,16:59
2024-01-27,E004,Employee_004,Y,9.07,09:04,18:09
2024.03.11,E023,Employee_023,on-duty,8.41,09:33,17:58
09-03-2024,E008,Employee_008,Y,9.01,09:40,18:40
01/07/2024,E024,Employee_024,absent,,,
15-01-2024, e023 ,Employee_023,A,,,
2024/01/26,E015,Employee_015,p,8.29,07:55,16:13
01/01/2024,e014,Employee_014,Y,8.62,08:36,17:13
2024.02.26,E001,Employee_001,OFF,,,
2024.02.09,E019,Employee_019,present,9.04,09:29,18:31
2024-03-12,e014,Employee_014,On Duty,8.18,09:19,17:29
20 Feb 2024,E004,Employee_004,1,8.62,10:08,18:45
2024/03/05,E004,Employee_004,absent,,,
24-Mar-2024,E016,Employee_016,on-duty,7.91,09:08,17:02
12-02-2024,e028,Employee_028,present,7.88,09:56,17:49
02/14/2024, e025 ,Employee_025,P,9.34,08:04,17:24
25-Jan-2024, E011,Employee_011,1,7.9,09:09,17:03
2024/03/19,e014,Employee_014,On Duty,9.09,08:35,17:41
23/02/2024,E015,Employee_015,p,8.28,08:29,16:46
16 Feb 2024,E012,Employee_012,,7.8,09:15,17:03
05/03/2024,E013,Employee_013,on-duty,8.5,08:58,17:28
2024.01.13,E023,Employee_023,present,8.07,08:47,16:52
2024-02-08,e014,Employee_014,Y,8.01,08:29,16:30
2024.03.05,e021,EMPLOYEE 021,on-duty,4.66,09:02,13:42
2024-01-04,E018,Employee_018,p,9.27,09:03,18:19
12-Feb-2024,E005,Employee_005,1,5.89,09:10,15:03
29 Jan 2024,E015,Employee_015,sick,,,
2024.01.17, E022,Employee_022,Absent ,,,
2024-02-30,E003,Employee_003,present,6.49,09:06,15:36
20/03/2024,E009,Employee_009,N,,,
07-01-2024,E013,Employee_013,1,7.61,09:26,17:02
03/01/2024, E022,Employee_022,p,,09:48,16:01
02/26/2024, E011,Employee_011,Present,6.51,09:15,16:46
01/07/2024,E016,Employee_016,Present ,8.06,09:39,17:43
2024/03/19,E006,Employee_006,p,9.43,09:17,18:43
25-Mar-2024,E019,Employee_019,late,7.38,09:33,16:56
06-Mar-2024,E001,,Present ,6.89,09:07,16:01
24/01/2024,E004,Employee_004,P,8.25,08:15,16:30
2024-03-20, E011,Employee_011,,9.67,08:51,18:31
17/01/2024,E002,Employee_002,A,,,
07-Feb-2024,E017,Employee_017,1,7.3,08:23,15:41
2024/03/19,E009,Employee_009,0,,,
08/03/2024,E018,Employee_018,on-duty,8.25,08:50,17:05
21/02/2024,E023,Employee_023,present,10.5,09:39,20:09
2024.01.02,E018,Employee_018,present,8.22,08:31,16:44
02/01/2024,E029,Employee_029,Not Present,,,
11 Feb 2024,E008,Employee_008,present,10.21,10:26,20:38
03-Jan-2024,E013,Employee_013,Y,8.12,08:35,16:43
2024/01/31,E018,Employee_018,present,5.19,08:51,14:02
12/03/2024,E013,Employee_013,1,8.53,08:54,17:26
2024/03/13,E023,Employee_023,late,8.29,08:44,17:01
2024.03.03, E011,Employee_011,p,7.02,09:11,16:12
2024-03-26,E003,Employee_003,Present ,7.97,09:02,17:00
13-Feb-2024,E010,Employee_010,sick,,,
01/26/2024,E019,Employee_019,1,6.98,09:06,16:04
25/02/2024, E011,Employee_011,absent,,,
2024/02/14,E023,Employee_023,0,,,
15-02-2024,e028,Employee_028,present,7.33,07:50,15:09
03/06/2024,e028,,Absent ,,,
09 Mar 2024,E026,Employee_026,present,9.67,08:26,18:06
06-Feb-2024,E025,Employee_025,1,8.31,09:33,17:51
02/22/2024,E016,Employee_016,0,,,
20-Mar-2024,E016,Employee_016,p,7.76,08:59,16:45
2024.03.10,e021,Employee_021,1,7.61,09:36,17:12
2024.01.30,E001,Employee_001,P,8.85,08:35,17:26
2024.02.07,E019,Employee_019,p,8.4,09:09,17:33
19/02/2024,E018,Employee_018,On Duty,7.69,09:30,17:11
2024/01/19,e007,Employee_007,1,9.3,09:00,18:18
04-Mar-2024,E027,Employee_027,Present ,10.16,08:40,18:49
07-02-2024,E005,Employee_005,1,8.88,08:52,17:45
2024.03.17,E020,Employee_020,Present ,7.36,09:19,16:40
30 Jan 2024,E029,Employee_029,absent,,,
02/21/2024,E004,Employee_004,late,6.11,09:11,15:17
2024/01/19,E019,Employee_019,Y,7.83,08:57,16:47
02-Feb-2024,E026,Employee_026,on-duty,6.71,10:00,16:42
01/29/2024,E019,Employee_019,Present ,7.79,10:21,18:09
20/01/2024,E012,Employee_012,Late,7.94,09:46,18:48
2024-03-14,E020,Employee_020,A,,,
26-02-2024,E002,Employee_002,on-duty,7.18,07:54,15:05
13/01/2024,E008,Employee_008,Late ,8.86,09:02,17:53
01/13/2024,E017,Employee_017,A,7.6,09:23,17:18
28-01-2024,E008,Employee_008,Y,6.19,09:11,15:23
15-Feb-2024,E013,Employee_013,on-duty,7.16,07:59,15:08
14-02-2024,E010,Employee_010,Sick ,,,
20-01-2024,E008,Employee_008,1,7.64,09:11,16:50
2024/01/23, E022,Employee_022,on-duty,7.92,08:53,16:48
27-01-2024,e028,Employee_028,On Duty,9.49,10:21,19:50
2024-02-07,E003,Employee_003,on-duty,7.84,09:24,17:14
23-Mar-2024,E023,Employee_023,S,,,
13-02-2024,E005,Employee_005,OFF,,,
2024.03.19,E025,Employee_025,N,,,
2024/01/23,E016,Employee_016,p,9.09,08:47,17:52
06/01/2024,e028,Employee_028,Present ,9.03,09:55,18:57
22/03/2024,E009,Employee_009,P,,08:16,18:10
01-03-2024,e028,Employee_028,absent,,,
12/02/2024, e011 ,Employee_011,on-duty,8.61,09:51,18:28
2024-02-05,E019,Employee_019,A,,,
2024-02-25,E010,EMPLOYEE 010,1,8.66,08:23,17:03
10-Jan-2024,E016,Employee_016,present,8.64,09:05,17:44
25-03-2024,E024,Employee_024,on-duty,8.89,08:28,17:21
04-Jan-2024,E013,Employee_013,P,6.89,09:20,16:13
2024/01/08,E015,Employee_015,p,7.65,09:43,17:22
2024/02/12,E009,Employee_009,1,8.34,10:07,18:27
04 Jan 2024,E019,Employee_019,p,8.92,08:51,17:46
10-02-2024,E026,Employee_026,1,9.63,09:03,18:41
2024/01/17,E008,Employee_008,p,8.9,08:52,17:46
13-03-2024,E024,Employee_024,P,8.1,08:51,16:57
29-Feb-2024,e007,Employee_007,p,7.76,08:21,16:07
27 Mar 2024,E019,Employee_019,Present ,8.22,09:08,17:21
20/03/2024,E015,Employee_015,Holiday ,,,
2024.03.02,E023,Employee_023,0,,,
2024-03-13,E015,Employee_015,1,8.18,08:30,16:40
21 Jan 2024,E024,Employee_024,On Duty,9.8,09:32,19:20
01/20/2024,E013,Employee_013,Present ,8.54,08:33,17:06
2024/02/23,E018,Employee_018,Tardy,7.05,09:52,16:55
2024/02/25,E009,Employee_009,P,8.26,09:25,17:41
2024/02/16,E017,Employee_017,present,8.63,09:28,18:06
02/07/2024,E029,,Late ,6.1,08:21,14:27
23-Feb-2024,e014,Employee_014,on-duty,7.56,08:47,16:21
2024-03-14,E020,Employee_020,A,,,
22 Jan 2024,E009,Employee_009,on-duty,8.52,07:54,16:26
06-Mar-2024,E023,Employee_023,1,8.0,09:03,17:03
16/02/2024,E027,Employee_027,p,6.87,09:08,16:00
25/03/2024,E010,Employee_010,on-duty,,08:36,17:31
23-Mar-2024,E001,Employee_001,P,8.77,08:46,17:32
10 Jan 2024,E006,Employee_006,On Duty,7.05,09:11,16:14
14/01/2024,E026,Employee_026,A,,,
15/01/2024,E020,Employee_020,1,7.06,09:22,16:25
2024-03-30,E012,Employee_012,Y,7.11,08:59,16:05
2024/02/10,e028,Employee_028,on-duty,7.89,08:49,16:43
2024-01-07, e026 ,Employee_026,N,,,
2024/02/22,E029,Employee_029,Present ,7.09,09:46,16:51
29 Mar 2024,E017,Employee_017,Not Present,,,
26/03/2024,E024,Employee_024,sick,,,
02/17/2024,E026,Employee_026,Present ,7.85,09:18,17:09
2024.01.14,e014,Employee_014,present,7.84,08:51,16:42
2024/02/08,E001,Employee_001,absent,,,
01/26/2024, E011,Employee_011,0,,,
18/03/2024,E015,Employee_015,,6.29,08:25,14:42
2024.02.27,E027,Employee_027,0,,,
03/01/2024, E011,Employee_011,present,6.3,08:33,14:51
31-01-2024, E022,Employee_022,On Duty,7.72,09:42,17:25
01/27/2024,E012,Employee_012,Y,9.1,09:14,18:20
2024/01/30,E010,Employee_010,Late ,10.5,08:52,19:22
10 Feb 2024,E006,EMPLOYEE 006,present,7.43,08:41,16:07
02/24/2024,e028,Employee_028,Tardy,8.45,08:47,17:14
2024.03.04,E029,Employee_029,OFF,,,
21-Jan-2024,E008,Employee_008,N,,,
2024.03.27,E024,Employee_024,on-duty,6.51,09:35,16:05
01/19/2024,E020,Employee_020,P,7.23,08:59,16:13
05-Jan-2024,E001,Employee_001,Y,8.9,09:16,18:10
2024/01/11, E022,Employee_022,P,9.65,08:52,18:31
02/29/2024,E009,Employee_009,Not Present,,,
2024-01-05,E018,Employee_018,on-duty,8.05,09:24,17:27
21/03/2024,E015,Employee_015,Y,7.82,08:34,16:24
2024-02-09,E010,Employee_010,P,8.64,09:24,18:02
24 Jan 2024,E016,Employee_016,Present ,6.44,08:35,15:01
2024/02/16,E030,Employee_030,On Duty,7.31,08:48,16:07
01/15/2024,E009,Employee_009,Present ,8.65,08:05,16:44
25 Jan 2024,E030,Employee_030,present,8.51,09:07,17:38
07 Feb 2024,E020,Employee_020,on-duty,9.54,09:01,18:34
13-Feb-2024,e021,Employee_021,Tardy,6.6,07:53,14:29
08-03-2024, e009 ,Employee_009,p,8.2,09:26,17:38
19-Feb-2024,E025,Employee_025,1,8.86,09:35,18:26
2024/01/16,E015,Employee_015,present,8.01,09:13,17:13
31-Jan-2024,E001,Employee_001,Not Present,,,
2024.02.14,E004,Employee_004,Y,8.95,08:23,17:20
06 Jan 2024, E022,Employee_022,on-duty,7.67,08:47,16:27
25-02-2024, E022,Employee_022,Y,8.66,08:09,16:48
2024.01.26,e007,Employee_007,present,8.56,08:51,17:25
04/01/2024,E005,,1,6.95,08:29,15:26
2024/01/20,E020,Employee_020,Y,8.72,09:12,17:55
28/02/2024,E029,Employee_029,Present ,8.13,08:47,16:55
03/04/2024,e028,Employee_028,p,7.8,09:14,17:02
2024/03/07,E020,Employee_020,p,7.31,09:17,16:36
09/03/2024,e028,Employee_028,present,7.37,08:29,15:51
20/01/2024,E017,Employee_017,absent,,,
18 Mar 2024,E004,Employee_004,Not Present,,,
02-02-2024,E016,Employee_016,N,,,
02/01/2024,E003,Employee_003,P,8.28,08:41,16:58
2024.01.07,E020,Employee_020,Y,8.26,09:02,17:18
06-03-2024,E012,Employee_012,On Duty,6.67,09:28,16:08
2024-01-08,E019,Employee_019,absent,,,
2024/01/23,E001,Employee_001,1,7.46,09:32,17:00
2024.03.04,E020,Employee_020,p,6.74,09:11,15:55
08-Mar-2024,E002,Employee_002,hol,,,
2024/02/06,E019,Employee_019,present,9.15,09:06,18:15
29 Feb 2024,E012,Employee_012,on-duty,9.43,08:50,18:16
2024/03/23,E026,Employee_026,p,9.41,07:52,17:17
17-Mar-2024,E010,Employee_010,0,,,
2024-03-24,E004,Employee_004,L,9.01,08:43,17:44
27-02-2024,E017,Employee_017,p,7.38,09:01,16:24
2024-02-14,E015,Employee_015,On Duty,9.15,09:03,18:12
28 Jan 2024,E003,Employee_003,late,7.47,08:24,15:53
2024/03/29,E018,Employee_018,P,7.12,09:15,16:23
03/26/2024,e014,Employee_014,Y,9.01,08:52,17:53
2024.03.28,E012,Employee_012,on-duty,9.05,08:49,17:52
26 Feb 2024,E017,Employee_017,on-duty,7.39,08:04,15:27
2024.03.28,E003,Employee_003,Sick ,,,
2024-02-08, E022,Employee_022,Y,8.0,08:46,16:46
27 Mar 2024,E008,Employee_008,Tardy,9.46,08:32,17:59
2024/02/20,E002,Employee_002,Y,7.47,09:04,16:33
17/03/2024,E005,Employee_005,1,8.5,09:26,17:56
31/01/2024,E026,Employee_026,On Duty,7.9,08:54,16:48
03/25/2024,E027,Employee_027,P,7.05,09:24,16:27
25-Jan-2024,E024,Employee_024,On Duty,8.09,09:55,18:00
22-01-2024,E003,Employee_003,On Duty,5.62,09:19,14:56
03/28/2024,E024,Employee_024,on-duty,7.72,08:06,15:49
2024/01/10,E018,Employee_018,,,,
01/26/2024,E024,Employee_024,P,5.99,09:02,15:02
03/27/2024,E006,Employee_006,P,8.7,09:38,18:20
2024-02-11,E005,EMPLOYEE 005,1,7.24,08:53,16:08
03/09/2024,E024,Employee_024,present,8.36,09:20,17:42
07/03/2024,e021,Employee_021,,6.36,09:27,15:49
09 Feb 2024,E002,Employee_002,present,7.6,08:52,16:28
2024-02-03, E022,Employee_022,1,8.46,07:56,16:23
29-Jan-2024,E001,Employee_001,Absent ,,,
28 Jan 2024,E027,Employee_027,Present ,9.07,09:21,18:25
01/02/2024,E030,Employee_030,0,,,
2024-02-12, E022,Employee_022,Not Present,,,
31-01-2024,E030,Employee_030,P,6.99,08:52,15:51
02/04/2024,E024,Employee_024,Y,8.14,09:31,17:39
23 Jan 2024,E020,Employee_020,L,7.51,09:18,16:48
2024-03-11,E008,Employee_008,Sick ,,,
2024/01/27,E006,Employee_006,holiday,,,
2024/01/11,E003,,p,8.75,07:56,16:41
2024.01.05,e007,Employee_007,L,9.13,09:29,18:36
2024/01/17,E020,Employee_020,Late ,10.17,08:29,18:39
2024-03-12,E005,Employee_005,P,7.57,09:07,16:41
2024-02-01,E026,Employee_026,P,6.33,08:17,14:37
02/05/2024,E015,Employee_015,p,8.38,08:47,17:10
22-Mar-2024,E002,Employee_002,on-duty,9.61,09:42,19:19
2024/01/21,E003,Employee_003,On Duty,8.13,09:09,17:17
26-Jan-2024, E022,Employee_022,P,6.01,08:59,14:59
2024-03-11,E015,Employee_015,present,7.89,09:29,17:23
06/03/2024,E018,Employee_018,On Duty,8.32,08:42,17:01
2024.03.15,E019,Employee_019,present,6.6,09:23,15:59
01/28/2024,e007,Employee_007,On Duty,7.04,08:42,15:44
15/01/2024,E019,Employee_019,Y,8.47,09:12,17:40
31-01-2024,E019,Employee_019,1,7.68,09:42,17:22
08/01/2024,E024,Employee_024,1,7.91,09:56,17:51
2024-02-07,E027,Employee_027,1,8.62,08:43,17:20
2024/01/21,E001,Employee_001,present,7.72,08:22,16:05
2024-02-29,E019,Employee_019,A,,,
04/02/2024,E013,Employee_013,,8.3,09:31,17:49
03-01-2024,E023,Employee_023,on-duty,7.99,09:24,17:24
2024-01-15,E013,Employee_013,present,7.47,09:22,16:50
